stationcode,name,capacity,numdocksavailable,numbikesavailable,lat,lon,date_extraction
14111,Cassini - Denfert-Rochereau,25,19,5,48.837525839067,2.3360354080796,2026-03-24 15:57:01.013498
14014,Jourdan - Stade Charléty,60,51,8,48.819428333369,2.3433353751898,2026-03-24 15:57:01.013498
11104,Charonne - Robert et Sonia Delaunay,20,18,2,48.855907555969,2.3925706744194,2026-03-24 15:57:01.013498
6003,Saint-Sulpice,21,1,20,48.85165383178419,2.3308077827095985,2026-03-24 15:57:01.013498
30002,Jean Rostand - Paul Vaillant Couturier,40,24,15,48.908168131015,2.4530601033354,2026-03-24 15:57:01.013498
17041,Guersant - Gouvion-Saint-Cyr,36,14,18,48.88287775178599,2.287667370814871,2026-03-24 15:57:01.013498
15047,Morillons - Dantzig,52,49,3,48.83310149953933,2.299380004405976,2026-03-24 15:57:01.013498
17026,Jouffroy d'Abbans - Wagram,40,37,3,48.881973298352,2.301132157445,2026-03-24 15:57:01.013498
6021,Beaux-Arts - Bonaparte,20,0,19,48.856451985396,2.3348518833518,2026-03-24 15:57:01.013498
42208,Place des Marseillais,35,29,5,48.826605522232,2.4059119927899,2026-03-24 15:57:01.013498
5016,Thouin - Cardinal Lemoine,17,2,15,48.845047166615,2.3494647851273,2026-03-24 15:57:01.013498
21010,Silly - Galliéni,25,18,7,48.835583838706,2.2325500845909,2026-03-24 15:57:01.013498
13101,Croulebarde - Corvisart,34,29,4,48.830981659316855,2.3481646925210953,2026-03-24 15:57:01.013498
14108,Le Brix et Mesmin - Jourdan,21,19,2,48.82234096593411,2.327861653302471,2026-03-24 15:57:01.013498
21108,Mairie de Clichy,51,44,7,48.903653634661,2.3059353232384,2026-03-24 15:57:01.013498
2022,Saint-Fiacre - Poissonière,35,3,32,48.870828911558,2.3459213599563,2026-03-24 15:57:01.013498
17044,Porte de Saint-Ouen - Bessières,42,37,5,48.89792240854517,2.32851451022192,2026-03-24 15:57:01.013498
21216,Louis Lejeune - Barbès,25,22,1,48.81807418981508,2.3267009854316716,2026-03-24 15:57:01.013498
15068,Général Martial Valin - Pont du Garigliano,16,6,10,48.83823094269141,2.270506024360657,2026-03-24 15:57:01.013498
8103,Artois - Berri,37,8,29,48.873935212408,2.306425832212,2026-03-24 15:57:01.013498
31028,Raspail Barbès,28,17,11,48.8529945,2.4247387,2026-03-24 15:57:01.013498
44017,Jules Guesde - Pont du Port à l'Anglais,30,17,12,48.79628807093802,2.417212128639221,2026-03-24 15:57:01.013498
16118,Michel-Ange - Parent de Rosan,26,18,8,48.840579923690115,2.2584119439125065,2026-03-24 15:57:01.013498
8048,Marceau - Chaillot,21,4,16,48.868834023334,2.2986030816809,2026-03-24 15:57:01.013498
14013,Liard - Amiral Mouchez,28,22,6,48.8214169,2.342167,2026-03-24 15:57:01.013498
15112,Vigée-Lebrun - Anselme Payen,24,22,2,48.838683941628375,2.3110422492027287,2026-03-24 15:57:01.013498
13030,Italie - Tolbiac,21,15,5,48.82557229464416,2.3576171323657036,2026-03-24 15:57:01.013498
8016,Square Louis XVI,29,0,29,48.87320440102894,2.323658830743138,2026-03-24 15:57:01.013498
10115,Granges aux Belles,27,22,3,48.8761373390584,2.3680844979417,2026-03-24 15:57:01.013498
10029,Dunkerque - Rocroy,24,18,3,48.880726,2.351464,2026-03-24 15:57:01.013498
10161,Gare de l'Est - Faubourg-Saint-Martin,32,29,3,48.875642647477,2.3594588041306,2026-03-24 15:57:01.013498
41303,Gare de Nogent-le-Perreux,32,5,25,48.83842553348809,2.493693307042122,2026-03-24 15:57:01.013498
9038,Douai - Bruxelles,27,19,4,48.88320784122797,2.3308449949028507,2026-03-24 15:57:01.013498
5005,Gay Lussac - Saint-Jacques,42,12,30,48.844730256132,2.3419239448664,2026-03-24 15:57:01.013498
8053,Place Georges Guillaumin,29,20,8,48.874750203957,2.301771435326,2026-03-24 15:57:01.013498
9014,Faubourg Montmartre - La Fayette,35,0,34,48.875254549053,2.3408536612988,2026-03-24 15:57:01.013498
9106,Boudreau - Auber,28,1,25,48.87219,2.329423,2026-03-24 15:57:01.013498
19105,Ambroise Rendu - Porte Brunet,17,16,1,48.883667,2.395733,2026-03-24 15:57:01.013498
51006,Lieutenant Colonel Prudhon - Repos,26,26,0,48.946800700149,2.2380727982588,2026-03-24 15:57:01.013498
17004,Legendre - Clichy,40,33,6,48.88896161855884,2.322528975094376,2026-03-24 15:57:01.013498
26002,Redoute - Les Courtilles,40,22,16,48.929867194519,2.2836696356535,2026-03-24 15:57:01.013498
19026,Place de Rhin et Danube,30,28,1,48.88192765861766,2.392586767673493,2026-03-24 15:57:01.013498
16039,Exelmans - Versailles,49,33,16,48.84097491091973,2.264390252530575,2026-03-24 15:57:01.013498
45003,11 Novembre 1918 - 8 Mai 1945,36,13,23,48.80889533774377,2.5382421165704727,2026-03-24 15:57:01.013498
11002,Roquette - Thiéré,23,12,11,48.85507930579506,2.3733686318721463,2026-03-24 15:57:01.013498
8034,Berri - Haussmann,49,6,41,48.874746047357135,2.3082953318953514,2026-03-24 15:57:01.013498
10010,Place Jacques Bonsergent,33,17,14,48.870948218595,2.3612049221992,2026-03-24 15:57:01.013498
11023,Saint-Maur - Roquette,46,42,3,48.858688774063,2.3835539945715,2026-03-24 15:57:01.013498
16108,Sablons - Georges Mandel,38,35,3,48.863875,2.28189,2026-03-24 15:57:01.013498
10016,Récollets - Square Villemin,17,15,1,48.875034655883944,2.359801238597928,2026-03-24 15:57:01.013498
31009,Place Du Général De Gaulle,26,23,3,48.8687591,2.4329931,2026-03-24 15:57:01.013498
41302,Charles de Gaulle - Beauté,49,47,0,48.83649602312711,2.479562651149885,2026-03-24 15:57:01.013498
